,FTSEMIB payout,HSCEI payout,NDX payout,Triggered,Above Strike Lvl,, FTSEMIB payout (USD)  , HSCEI payout (USD) , NDX payout (USD) ,, AveragePayout Sum (USD) ,, Average Payout 
103,8529.09465,3983.436492,3180.49961,0,0,," $ 9,509.53 ", $ 512.27 ," $ 3,180.50 ",," $ 13,202.30 ",,
104,10579.84798,4941.222283,3945.22558,0,0,," $ 11,796.02 ", $ 635.44 ," $ 3,945.23 ",," $ 16,376.68 ",,
105,8417.670742,3931.396964,3138.949632,0,0,," $ 9,385.29 ", $ 505.58 ," $ 3,138.95 ",," $ 13,029.82 ",,
106,9383.901441,4382.666271,3499.257084,0,0,," $ 10,462.59 ", $ 563.61 ," $ 3,499.26 ",," $ 14,525.46 ",,
107,10367.50405,4842.04897,3866.042521,0,0,," $ 11,559.26 ", $ 622.69 ," $ 3,866.04 ",," $ 16,047.99 ",,
108,6780.019939,3166.546973,2528.269606,0,0,," $ 7,559.39 ", $ 407.22 ," $ 2,528.27 ",," $ 10,494.88 ",,
109,7545.118617,3523.879388,2813.574922,0,0,," $ 8,412.44 ", $ 453.17 ," $ 2,813.57 ",," $ 11,679.19 ",,
110,8226.979008,3842.336115,3067.84068,0,0,," $ 9,172.68 ", $ 494.12 ," $ 3,067.84 ",," $ 12,734.65 ",,
111,11619.18445,5426.634977,4332.794174,0,0,," $ 12,954.83 ", $ 697.87 ," $ 4,332.79 ",," $ 17,985.49 ",,
112,8507.232028,3973.225753,3172.347038,0,0,," $ 9,485.15 ", $ 510.96 ," $ 3,172.35 ",," $ 13,168.45 ",,
113,12835.58348,5994.743139,4786.389404,0,0,," $ 14,311.05 ", $ 770.92 ," $ 4,786.39 ",," $ 19,868.37 ",,
114,8125.186968,3794.795064,3029.882425,0,0,," $ 9,059.19 ", $ 488.01 ," $ 3,029.88 ",," $ 12,577.08 ",,
115,14007.32245,6541.993224,5223.330895,0,0,," $ 15,617.49 ", $ 841.30 ," $ 5,223.33 ",," $ 21,682.12 ",,
116,11529.82914,5384.902386,4299.473575,0,0,," $ 12,855.20 ", $ 692.50 ," $ 4,299.47 ",," $ 17,847.17 ",,
117,10678.32865,4987.216788,3981.949023,0,0,," $ 11,905.82 ", $ 641.36 ," $ 3,981.95 ",," $ 16,529.12 ",,
118,5572.130099,2602.412951,2077.847455,0,0,," $ 6,212.65 ", $ 334.67 ," $ 2,077.85 ",," $ 8,625.17 ",,
119,20187.73227,9428.497717,7528.005874,0,0,," $ 22,508.34 "," $ 1,212.50 "," $ 7,528.01 ",," $ 31,248.85 ",,
120,12139.08214,5669.448488,4526.664035,0,0,," $ 13,534.49 ", $ 729.09 ," $ 4,526.66 ",," $ 18,790.24 ",,
121,9597.510455,4482.430428,3578.911891,0,0,," $ 10,700.76 ", $ 576.44 ," $ 3,578.91 ",," $ 14,856.11 ",,
122,17114.97524,7993.394343,6382.174698,0,0,," $ 19,082.37 "," $ 1,027.95 "," $ 6,382.17 ",," $ 26,492.49 ",,
123,13580.92398,6342.847677,5064.326896,0,0,," $ 15,142.07 ", $ 815.69 ," $ 5,064.33 ",," $ 21,022.09 ",,
124,14802.00997,6913.144841,5519.669891,0,0,," $ 16,503.52 ", $ 889.03 ," $ 5,519.67 ",," $ 22,912.22 ",,
125,7661.472633,3578.221479,2856.963338,0,0,," $ 8,542.17 ", $ 460.16 ," $ 2,856.96 ",," $ 11,859.29 ",,
126,10389.09715,4852.133834,3874.094591,0,0,," $ 11,583.34 ", $ 623.98 ," $ 3,874.09 ",," $ 16,081.42 ",,
127,7720.461219,3605.771564,2878.960183,0,0,," $ 8,607.94 ", $ 463.70 ," $ 2,878.96 ",," $ 11,950.60 ",,
128,14950.11621,6982.316518,5574.89871,0,0,," $ 16,668.65 ", $ 897.93 ," $ 5,574.90 ",," $ 23,141.48 ",,
129,7658.406198,3576.789328,2855.819864,0,0,," $ 8,538.75 ", $ 459.98 ," $ 2,855.82 ",," $ 11,854.55 ",,
130,8504.291887,3971.852586,3171.250659,0,0,," $ 9,481.87 ", $ 510.78 ," $ 3,171.25 ",," $ 13,163.90 ",,
131,30355.1796,14177.11201,11319.44724,0,0,," $ 33,844.55 "," $ 1,823.18 "," $ 11,319.45 ",," $ 46,987.18 ",,
132,7738.625682,3614.255112,2885.733712,0,0,," $ 8,628.19 ", $ 464.79 ," $ 2,885.73 ",," $ 11,978.72 ",,
133,6452.806342,3013.724823,2406.251648,0,0,," $ 7,194.57 ", $ 387.57 ," $ 2,406.25 ",," $ 9,988.38 ",,
134,17575.1793,8208.328486,6553.784804,0,0,," $ 19,595.47 "," $ 1,055.59 "," $ 6,553.78 ",," $ 27,204.85 ",,
135,15841.36049,7398.564098,5907.243726,0,0,," $ 17,662.35 ", $ 951.46 ," $ 5,907.24 ",," $ 24,521.05 ",,
136,14399.79451,6725.293748,5369.683736,0,0,," $ 16,055.07 ", $ 864.87 ," $ 5,369.68 ",," $ 22,289.63 ",,
137,7748.653538,3618.938532,2889.4731,0,0,," $ 8,639.37 ", $ 465.40 ," $ 2,889.47 ",," $ 11,994.24 ",,
138,8463.621576,3952.857885,3156.084699,0,0,," $ 9,436.53 ", $ 508.34 ," $ 3,156.08 ",," $ 13,100.95 ",,
139,17253.76709,8058.215823,6433.930184,0,0,," $ 19,237.11 "," $ 1,036.29 "," $ 6,433.93 ",," $ 26,707.33 ",,
140,8239.203606,3848.045503,3072.399232,0,0,," $ 9,186.31 ", $ 494.86 ," $ 3,072.40 ",," $ 12,753.57 ",,
141,9976.490842,4659.429789,3720.233686,0,0,," $ 11,123.30 ", $ 599.20 ," $ 3,720.23 ",," $ 15,442.74 ",,
142,11290.94221,5273.332408,4210.392634,0,0,," $ 12,588.85 ", $ 678.15 ," $ 4,210.39 ",," $ 17,477.40 ",,
143,10608.29058,4954.506142,3955.831826,0,0,," $ 11,827.73 ", $ 637.15 ," $ 3,955.83 ",," $ 16,420.71 ",,
144,11979.55896,5594.94463,4467.177837,0,0,," $ 13,356.63 ", $ 719.51 ," $ 4,467.18 ",," $ 18,543.31 ",,
145,11132.41458,5199.293515,4151.277679,0,0,," $ 12,412.10 ", $ 668.63 ," $ 4,151.28 ",," $ 17,232.01 ",,
146,7490.525955,3498.382379,2793.217317,0,0,," $ 8,351.57 ", $ 449.89 ," $ 2,793.22 ",," $ 11,594.68 ",,
147,12660.20974,5912.836419,4720.99253,0,0,," $ 14,115.52 ", $ 760.39 ," $ 4,720.99 ",," $ 19,596.90 ",,
148,18666.5286,8718.033303,6960.748985,0,0,," $ 20,812.27 "," $ 1,121.14 "," $ 6,960.75 ",," $ 28,894.16 ",,
